Country	lat	long
Cameroon	5.154387	12.64247
Croatia	44.717699	15.288265
Democratic Republic of the Congo	-3.130507	22.584959
Egypt	27.126734	29.989744
Ethiopia	9.133689	39.613768
Gabon	-0.428415	11.85306
Liberia	6.436837	-9.227076
Madagascar	-19.498422	46.669612
Morocco	32.413018	-5.257431
Rwanda	-1.899608	29.9543
South Africa	-29.770756	24.377008
Tanzania	-5.908874	35.316261
Uganda	1.597337	32.869108
Japan	37.360983	139.659086
Mongolia	46.247865	103.184479
Nepal	28.052099	84.255033
Philippines	14.412768	121.001903
Guadeloupe	16.262786	-61.574273
Belgium	50.688865	4.767616
Czech Republic	49.874523	15.166175
England	51.737369	-1.344385
France	46.886626	2.852393
Germany	50.440153	10.081396
Ireland	53.35396	-7.320947
Italy	42.516811	13.025732
Portugal	39.796042	-8.002099
Romania	45.99383	25.405741
Serbia	43.910476	20.835429
Spain	40.326359	-3.708028
The Netherlands	52.225038	5.806132
Belize	17.039492	-88.683848
Guatemala	15.552703	-89.914317
Nicaragua	12.665568	-84.76173
USA	39.663946	-98.425843
Efate	-17.6667	168.4167
Fiji	-17.862026	177.988504
Flores	-8.4029	121.2304
Futuna	-19.5116	170.23
Raiatea	-16.8333	-151.4
Rapa_Nui	-27.1208	-109.3601
Taumako_Duff_Islands	-9.95	167.216667
Tongatapu	-21.17	-175.11
Uripiv	-16.25	167.5
Vao	-16.2323365	167.2152186
Viti_Levu	-18.15	177.5
Watom	-4.115	152.071944
Venezuela	7.171786	-65.430971
Unknown	-70.996682	-5.976563
