Clade	Species
Anginosus	Streptococcus anginosus
Anginosus	Streptococcus anginosus_C
Anginosus	Streptococcus constellatus
Anginosus	Streptococcus constellatus_A
Anginosus	Streptococcus intermedius
Bovis	Streptococcus alactolyticus
Bovis	Streptococcus caballi
Bovis	Streptococcus equinus
Bovis	Streptococcus equinus_B
Bovis	Streptococcus equinus_D
Bovis	Streptococcus gallolyticus
Bovis	Streptococcus gallolyticus_B
Bovis	Streptococcus henryi
Bovis	Streptococcus infantarius
Bovis	Streptococcus lutetiensis
Bovis	Streptococcus macedonicus
Bovis	Streptococcus orisratti
Bovis	Streptococcus pasteurianus
Bovis	Streptococcus sp002393675
Bovis	Streptococcus sp003086355
Downei	Streptococcus criceti
Downei	Streptococcus downei
Downei	Streptococcus halotolerans
Downei	Streptococcus hyovaginalis
Downei	Streptococcus pluranimalium
Downei	Streptococcus sobrinus
Downei	Streptococcus sp011038795
Downei	Streptococcus sp004570525
Mitis	Streptococcus australis
Mitis	Streptococcus australis_A
Mitis	Streptococcus chosunense
Mitis	Streptococcus dentisani
Mitis	Streptococcus gwangjuense
Mitis	Streptococcus halitosis
Mitis	Streptococcus infantis
Mitis	Streptococcus infantis_B
Mitis	Streptococcus infantis_C
Mitis	Streptococcus infantis_E
Mitis	Streptococcus infantis_F
Mitis	Streptococcus infantis_G
Mitis	Streptococcus infantis_H
Mitis	Streptococcus infantis_I
Mitis	Streptococcus koreensis
Mitis	Streptococcus mitis
Mitis	Streptococcus mitis_A
Mitis	Streptococcus mitis_AC
Mitis	Streptococcus mitis_AD
Mitis	Streptococcus mitis_AF
Mitis	Streptococcus mitis_AH
Mitis	Streptococcus mitis_AI
Mitis	Streptococcus mitis_AK
Mitis	Streptococcus mitis_AP
Mitis	Streptococcus mitis_AQ
Mitis	Streptococcus mitis_AR
Mitis	Streptococcus mitis_AT
Mitis	Streptococcus mitis_AV
Mitis	Streptococcus mitis_AW
Mitis	Streptococcus mitis_AX
Mitis	Streptococcus mitis_AY
Mitis	Streptococcus mitis_AZ
Mitis	Streptococcus mitis_BA
Mitis	Streptococcus mitis_BB
Mitis	Streptococcus mitis_BC
Mitis	Streptococcus mitis_BD
Mitis	Streptococcus mitis_BE
Mitis	Streptococcus mitis_BF
Mitis	Streptococcus mitis_BG
Mitis	Streptococcus mitis_BH
Mitis	Streptococcus mitis_BI
Mitis	Streptococcus mitis_BJ
Mitis	Streptococcus mitis_BK
Mitis	Streptococcus mitis_BL
Mitis	Streptococcus mitis_BM
Mitis	Streptococcus mitis_BN
Mitis	Streptococcus mitis_BO
Mitis	Streptococcus mitis_BP
Mitis	Streptococcus mitis_BQ
Mitis	Streptococcus mitis_C
Mitis	Streptococcus mitis_D
Mitis	Streptococcus mitis_E
Mitis	Streptococcus mitis_F
Mitis	Streptococcus mitis_H
Mitis	Streptococcus mitis_I
Mitis	Streptococcus mitis_J
Mitis	Streptococcus mitis_K
Mitis	Streptococcus mitis_L
Mitis	Streptococcus mitis_M
Mitis	Streptococcus mitis_N
Mitis	Streptococcus mitis_O
Mitis	Streptococcus mitis_P
Mitis	Streptococcus mitis_Q
Mitis	Streptococcus mitis_S
Mitis	Streptococcus mitis_W
Mitis	Streptococcus mitis_Y
Mitis	Streptococcus oralis
Mitis	Streptococcus oralis_AA
Mitis	Streptococcus oralis_AB
Mitis	Streptococcus oralis_AC
Mitis	Streptococcus oralis_AD
