Assembly_accession	Contig	Species	GTDB_species
JAE006_008	JAE006_008_NODE_61_length_85639_cov_95.888788	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_72_length_76918_cov_130.203388	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_84_length_68910_cov_90.737608	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_100_length_62096_cov_103.376896	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_105_length_60178_cov_149.849791	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_140_length_53149_cov_116.218198	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_157_length_50273_cov_125.651320	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_168_length_47525_cov_127.235875	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_200_length_41472_cov_81.693025	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_209_length_40569_cov_133.981414	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_211_length_40079_cov_130.073306	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_227_length_37968_cov_133.678844	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_235_length_37308_cov_104.829651	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_239_length_36992_cov_101.161681	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_248_length_35789_cov_111.444367	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_254_length_35222_cov_100.678591	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_261_length_34522_cov_119.692024	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_263_length_34490_cov_99.175693	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_290_length_32249_cov_122.983382	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_307_length_30158_cov_120.310368	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_309_length_30011_cov_124.294031	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_321_length_29396_cov_126.848403	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_326_length_29224_cov_98.140972	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_331_length_28896_cov_149.839603	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_339_length_28322_cov_118.767503	Streptococcus sanguinis	sanguinis_A
JAE006_008	JAE006_008_NODE_348_length_27397_cov_114.619560	Streptococcus sanguinis	sanguinis_A
