Assembly_accession	Contig	Species	GTDB_species
GCA_013378335.1	CP040556.1	Streptococcus sanguinis	sanguinis_I
GCF_001078705.1	NZ_CDMW01000001.1	Streptococcus sanguinis	sanguinis_D
GCF_013343115.1	NZ_CP054570.1	Streptococcus sanguinis	sanguinis_H
GCF_000194945.1	NZ_GL878507.1	Streptococcus sanguinis	sanguinis
GCF_000194945.1	NZ_GL878508.1	Streptococcus sanguinis	sanguinis
GCF_000194945.1	NZ_GL878509.1	Streptococcus sanguinis	sanguinis
GCF_000194945.1	NZ_GL878510.1	Streptococcus sanguinis	sanguinis
GCF_000194945.1	NZ_GL878511.1	Streptococcus sanguinis	sanguinis
GCF_000194945.1	NZ_GL878512.1	Streptococcus sanguinis	sanguinis
GCF_000194945.1	NZ_GL878513.1	Streptococcus sanguinis	sanguinis
GCF_000212815.1	NZ_GL890985.1	Streptococcus sanguinis	sanguinis_C
GCF_000212815.1	NZ_GL890986.1	Streptococcus sanguinis	sanguinis_C
GCF_000212815.1	NZ_GL890987.1	Streptococcus sanguinis	sanguinis_C
GCF_000212815.1	NZ_GL890988.1	Streptococcus sanguinis	sanguinis_C
GCF_000212815.1	NZ_GL890989.1	Streptococcus sanguinis	sanguinis_C
GCF_000212855.1	NZ_GL890993.1	Streptococcus sanguinis	sanguinis_A
GCF_000212855.1	NZ_GL890994.1	Streptococcus sanguinis	sanguinis_A
GCF_000212855.1	NZ_GL890995.1	Streptococcus sanguinis	sanguinis_A
GCF_000212855.1	NZ_GL890996.1	Streptococcus sanguinis	sanguinis_A
GCF_000212855.1	NZ_GL890997.1	Streptococcus sanguinis	sanguinis_A
GCF_000212855.1	NZ_GL890998.1	Streptococcus sanguinis	sanguinis_A
GCF_900635155.1	NZ_LR134002.1	Streptococcus sanguinis	sanguinis_G
GCF_003943655.1	NZ_RJMM01000001.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000002.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000003.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000004.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000005.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000006.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000007.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000008.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000009.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000010.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000011.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000012.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000013.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000014.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000015.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000016.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000017.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000018.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000019.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000020.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000021.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000022.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000023.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000024.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000025.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000026.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000027.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000028.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000029.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000030.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000031.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000032.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000033.1	Streptococcus sanguinis	sanguinis_F
GCF_003943655.1	NZ_RJMM01000034.1	Streptococcus sanguinis	sanguinis_F
