Study	Study_accession	Sample_type	Sample_group	Secondary_sample_accession	Run_accession	Sample_alias	Host	Common_name	Species	Subspeices	Kind	Habitat	Diet	Country	Other_sample_codes	Age_BP	avg_gc	avg_rl	No_reads_no_human
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573376	SRR17524426	13B-M	Galago	Garnett's greater galago	Otolemur garnettii	NA	Strepsirrhini	Wild	Omnivore	Tanzania	NA	7	53	249.590158924205	32720
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573377	SRR17524425	17B-M	Galago	Garnett's greater galago	Otolemur garnettii	NA	Strepsirrhini	Wild	Omnivore	Tanzania	NA	7	53	249.624097545323	24932
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573378	SRR17524424	1B-M	Galago	Garnett's greater galago	Otolemur garnettii	NA	Strepsirrhini	Wild	Omnivore	Tanzania	NA	7	52	253.554734031629	24345
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573164	SRR17524200	2008-01.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	251.975811148799	29187
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573166	SRR17524199	2008-02.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	251.732454233686	41406
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573165	SRR17524198	2008-03.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	252.093036144161	57741
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573168	SRR17524196	2008-04.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	252.083604273107	64590
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573169	SRR17524195	2008-05.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	252.956378798813	49884
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573608	SRR17524623	2008-06.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	53	252.087390256644	59343
Asangba2022	PRJNA795815	oral_swab	non_human_primate	SRS11573611	SRR17524622	2008-07.O	Sifaka	Diademed sifaka	Propithecus diadema	NA	Strepsirrhini	Wild	Folivore	Madagascar	NA	7	54	251.837917592061	64387
