gene	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	effsize	magnitude
GMGC10.019_516_519.UNKNOWN	CPM	BMS	nhp_OS	299	197	58509	4.22E-106	4.9374E-104	****	0.98236359423242	large
GMGC10.004_263_005.UNKNOWN	CPM	BMS	nhp_OS	299	197	58213.5	1.59E-103	4.65075E-102	****	0.97014270456969	large
GMGC10.011_144_950.UNKNOWN	CPM	BMS	nhp_OS	299	197	58213.5	1.59E-103	4.65075E-102	****	0.97014270456969	large
GMGC10.036_327_542.UNKNOWN	CPM	BMS	nhp_OS	299	197	58213.5	1.59E-103	4.65075E-102	****	0.97014270456969	large
GMGC10.011_614_743.UNKNOWN	CPM	BMS	nhp_OS	299	197	58115	1.1E-102	1.83857142857143E-101	****	0.966115042362454	large
GMGC10.011_824_912.AC7_A0024	CPM	BMS	nhp_OS	299	197	58115	1.1E-102	1.83857142857143E-101	****	0.966115042362454	large
GMGC10.150_892_220.UNKNOWN	CPM	BMS	nhp_OS	299	197	58115	1.1E-102	1.83857142857143E-101	****	0.966115042362454	large
GMGC10.150_554_669.UNKNOWN	CPM	BMS	nhp_OS	299	197	57918	5.03E-101	7.356375E-100	****	0.958126889783778	large
GMGC10.305_776_454.FUSA	CPM	BMS	nhp_OS	299	197	57721	2.13E-99	2.769E-98	****	0.950226385256013	large
GMGC10.004_231_338.UNKNOWN	CPM	BMS	nhp_OS	299	197	57622.5	1.35E-98	1.5795E-97	****	0.946308300142217	large
GMGC10.004_216_891.UNKNOWN	CPM	BMS	nhp_OS	299	197	57524	8.42E-98	8.95581818181818E-97	****	0.942411294803909	large
GMGC10.018_404_656.UNKNOWN	CPM	BMS	nhp_OS	299	197	57425.5	5.16E-97	4.644E-96	****	0.938535100833904	large
GMGC10.301_676_754.TAGF	CPM	BMS	nhp_OS	299	197	57425.5	5.16E-97	4.644E-96	****	0.938535100833904	large
GMGC10.017_837_237.UNKNOWN	CPM	BMS	nhp_OS	299	197	56933	3.46E-93	2.89157142857143E-92	****	0.919457193373956	large
GMGC10.006_499_579.UNKNOWN	CPM	BMS	nhp_OS	299	197	56834.5	1.92E-92	1.248E-91	****	0.915700457772058	large
GMGC10.018_432_135.UNKNOWN	CPM	BMS	nhp_OS	299	197	56834.5	1.92E-92	1.248E-91	****	0.915700457772058	large
GMGC10.027_399_454.UNKNOWN	CPM	BMS	nhp_OS	299	197	56834.5	1.92E-92	1.248E-91	****	0.915700457772058	large
GMGC10.287_827_270.UNKNOWN	CPM	BMS	nhp_OS	299	197	56834.5	1.92E-92	1.248E-91	****	0.915700457772058	large
GMGC10.305_885_684.RPOC	CPM	BMS	nhp_OS	299	197	56539	2.99E-90	1.84121052631579E-89	****	0.904543568839531	large
GMGC10.147_870_552.UNKNOWN	CPM	BMS	nhp_OS	299	197	56440.5	1.56E-89	9.126E-89	****	0.900861598314691	large
GMGC10.306_062_882.FUSA	CPM	BMS	nhp_OS	299	197	56145	2.03E-87	1.131E-86	****	0.889923482147825	large
GMGC10.017_834_820.UNKNOWN	CPM	BMS	nhp_OS	299	197	56046.5	1E-86	5.31818181818182E-86	****	0.886312639345308	large
GMGC10.004_167_188.CTPC	CPM	BMS	nhp_OS	299	197	55948	4.87E-86	2.374125E-85	****	0.882719034405272	large
GMGC10.309_382_965.RPOC	CPM	BMS	nhp_OS	299	197	55948	4.87E-86	2.374125E-85	****	0.882719034405272	large
GMGC10.010_662_421.RPOC	CPM	BMS	nhp_OS	299	197	55849.5	2.33E-85	1.0485E-84	****	0.879142455839908	large
GMGC10.303_782_575.RPOB	CPM	BMS	nhp_OS	299	197	55849.5	2.33E-85	1.0485E-84	****	0.879142455839908	large
GMGC10.018_103_274.UNKNOWN	CPM	BMS	nhp_OS	299	197	55751	1.1E-84	4.29E-84	****	0.875582695120787	large
GMGC10.018_257_861.UNKNOWN	CPM	BMS	nhp_OS	299	197	55751	1.1E-84	4.29E-84	****	0.875582695120787	large
GMGC10.019_513_214.RR07	CPM	BMS	nhp_OS	299	197	55751	1.1E-84	4.29E-84	****	0.875582695120787	large
GMGC10.019_523_330.UNKNOWN	CPM	BMS	nhp_OS	299	197	55751	1.1E-84	4.29E-84	****	0.875582695120787	large
GMGC10.308_000_364.ENO	CPM	BMS	nhp_OS	299	197	55652.5	5.14E-84	1.93993548387097E-83	****	0.87203954661813	large
GMGC10.016_734_054.RPOC	CPM	BMS	nhp_OS	299	197	55554	2.37E-83	8.6653125E-83	****	0.868512807541481	large
GMGC10.017_787_811.YJBB	CPM	BMS	nhp_OS	299	197	55455.5	1.07E-82	3.38351351351351E-82	****	0.86500227788171	large
GMGC10.017_936_490.UNKNOWN	CPM	BMS	nhp_OS	299	197	55455.5	1.07E-82	3.38351351351351E-82	****	0.86500227788171	large
GMGC10.018_136_716.UNKNOWN	CPM	BMS	nhp_OS	299	197	55455.5	1.07E-82	3.38351351351351E-82	****	0.86500227788171	large
GMGC10.018_482_656.UNKNOWN	CPM	BMS	nhp_OS	299	197	55455.5	1.07E-82	3.38351351351351E-82	****	0.86500227788171	large
GMGC10.247_887_064.TIG	CPM	BMS	nhp_OS	299	197	55455.5	1.07E-82	3.38351351351351E-82	****	0.86500227788171	large
GMGC10.004_075_232.UNKNOWN	CPM	BMS	nhp_OS	299	197	55357	4.82E-82	1.37546341463415E-81	****	0.861507760354342	large
GMGC10.302_959_939.UNKNOWN	CPM	BMS	nhp_OS	299	197	55357	4.82E-82	1.37546341463415E-81	****	0.861507760354342	large
GMGC10.304_266_622.RPOB	CPM	BMS	nhp_OS	299	197	55357	4.82E-82	1.37546341463415E-81	****	0.861507760354342	large
GMGC10.307_113_368.RPOB	CPM	BMS	nhp_OS	299	197	55357	4.82E-82	1.37546341463415E-81	****	0.861507760354342	large
GMGC10.018_133_407.CAPD	CPM	BMS	nhp_OS	299	197	55258.5	2.13E-81	5.79558139534884E-81	****	0.85802906034415	large
GMGC10.267_822_178.RPLB	CPM	BMS	nhp_OS	299	197	55258.5	2.13E-81	5.79558139534884E-81	****	0.85802906034415	large
GMGC10.006_502_368.FUSA	CPM	BMS	nhp_OS	299	197	55160	9.31E-81	2.31759574468085E-80	****	0.854565985850984	large
GMGC10.014_747_976.DTPT	CPM	BMS	nhp_OS	299	197	55160	9.31E-81	2.31759574468085E-80	****	0.854565985850984	large
GMGC10.034_914_414.UNKNOWN	CPM	BMS	nhp_OS	299	197	55160	9.31E-81	2.31759574468085E-80	****	0.854565985850984	large
GMGC10.309_897_435.PGI	CPM	BMS	nhp_OS	299	197	55160	9.31E-81	2.31759574468085E-80	****	0.854565985850984	large
GMGC10.018_160_984.UNKNOWN	CPM	BMS	nhp_OS	299	197	55061.5	4.02E-80	9.045E-80	****	0.851118347436813	large
GMGC10.019_522_240.UNKNOWN	CPM	BMS	nhp_OS	299	197	55061.5	4.02E-80	9.045E-80	****	0.851118347436813	large
GMGC10.267_489_703.ILVC	CPM	BMS	nhp_OS	299	197	55061.5	4.02E-80	9.045E-80	****	0.851118347436813	large
GMGC10.297_384_012.GLGP	CPM	BMS	nhp_OS	299	197	55061.5	4.02E-80	9.045E-80	****	0.851118347436813	large
GMGC10.304_489_138.GLGP	CPM	BMS	nhp_OS	299	197	55061.5	4.02E-80	9.045E-80	****	0.851118347436813	large
GMGC10.012_858_946.RPLM	CPM	BMS	nhp_OS	299	197	54963	1.71E-79	3.63763636363636E-79	****	0.847685958173921	large
GMGC10.309_004_240.RPLR	CPM	BMS	nhp_OS	299	197	54963	1.71E-79	3.63763636363636E-79	****	0.847685958173921	large
GMGC10.310_313_270.CTPC	CPM	BMS	nhp_OS	299	197	54963	1.71E-79	3.63763636363636E-79	****	0.847685958173921	large
GMGC10.038_208_973.AMIA	CPM	BMS	nhp_OS	299	197	54864.5	7.22E-79	1.45644827586207E-78	****	0.844268633594246	large
GMGC10.309_108_098.FUSA	CPM	BMS	nhp_OS	299	197	54864.5	7.22E-79	1.45644827586207E-78	****	0.844268633594246	large
GMGC10.309_165_141.UNKNOWN	CPM	BMS	nhp_OS	299	197	54864.5	7.22E-79	1.45644827586207E-78	****	0.844268633594246	large
GMGC10.006_292_004.AC7_A0024	CPM	BMS	nhp_OS	299	197	54766	3E-78	5.75409836065574E-78	****	0.840866191639813	large
GMGC10.010_664_339.UNKNOWN	CPM	BMS	nhp_OS	299	197	54766	3E-78	5.75409836065574E-78	****	0.840866191639813	large
GMGC10.031_810_310.UNKNOWN	CPM	BMS	nhp_OS	299	197	54766	3E-78	5.75409836065574E-78	****	0.840866191639813	large
GMGC10.148_032_119.CBIO	CPM	BMS	nhp_OS	299	197	54667.5	1.24E-77	2.34E-77	****	0.837478452614251	large
GMGC10.004_172_300.XYLG	CPM	BMS	nhp_OS	299	197	54569	5.02E-77	9.036E-77	****	0.834105239135337	large
GMGC10.011_219_944.RPMC	CPM	BMS	nhp_OS	299	197	54569	5.02E-77	9.036E-77	****	0.834105239135337	large
GMGC10.036_229_008.UNKNOWN	CPM	BMS	nhp_OS	299	197	54569	5.02E-77	9.036E-77	****	0.834105239135337	large
GMGC10.008_554_328.UNKNOWN	CPM	BMS	nhp_OS	299	197	54470.5	2.02E-76	3.42521739130435E-76	****	0.830746376088564	large
GMGC10.011_189_004.AMIA2	CPM	BMS	nhp_OS	299	197	54470.5	2.02E-76	3.42521739130435E-76	****	0.830746376088564	large
GMGC10.019_517_534.UNKNOWN	CPM	BMS	nhp_OS	299	197	54470.5	2.02E-76	3.42521739130435E-76	****	0.830746376088564	large
GMGC10.150_452_366.UNKNOWN	CPM	BMS	nhp_OS	299	197	54470.5	2.02E-76	3.42521739130435E-76	****	0.830746376088564	large
GMGC10.043_073_425.SP_1956	CPM	BMS	nhp_OS	299	197	54273.5	3.15E-75	5.265E-75	****	0.824071011900211	large
GMGC10.149_955_232.POXB	CPM	BMS	nhp_OS	299	197	54175	1.22E-74	1.87815789473684E-74	****	0.820754171463855	large
GMGC10.150_185_973.ATPD	CPM	BMS	nhp_OS	299	197	54175	1.22E-74	1.87815789473684E-74	****	0.820754171463855	large
GMGC10.150_637_119.FUSA	CPM	BMS	nhp_OS	299	197	54175	1.22E-74	1.87815789473684E-74	****	0.820754171463855	large
GMGC10.211_042_272.UNKNOWN	CPM	BMS	nhp_OS	299	197	54175	1.22E-74	1.87815789473684E-74	****	0.820754171463855	large
GMGC10.275_822_005.UNKNOWN	CPM	BMS	nhp_OS	299	197	54175	1.22E-74	1.87815789473684E-74	****	0.820754171463855	large
GMGC10.307_627_072.DNAN	CPM	BMS	nhp_OS	299	197	54175	1.22E-74	1.87815789473684E-74	****	0.820754171463855	large
GMGC10.017_124_359.GAP	CPM	BMS	nhp_OS	299	197	54076.5	4.7E-74	7.05E-74	****	0.817451002783852	large
GMGC10.301_369_828.YBIT	CPM	BMS	nhp_OS	299	197	54076.5	4.7E-74	7.05E-74	****	0.817451002783852	large
