gene	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	effsize	magnitude
GMGC10.149_396_581.UNKNOWN	CPM	Homo	NHP	559	107	45654.5	6.15e-43	8.364e-41	****	0.532287772229322	large
GMGC10.149_617_677.UNKNOWN	CPM	Homo	NHP	559	107	45256	1.71e-42	1.1628e-40	****	0.529408631017291	large
GMGC10.147_333_720.UNKNOWN	CPM	Homo	NHP	559	107	45036.5	5.19e-34	2.3528e-32	****	0.471138631702383	moderate
GMGC10.147_319_992.UNKNOWN	CPM	Homo	NHP	559	107	45774.5	1.99e-31	6.766e-30	****	0.451912464590826	moderate
GMGC10.150_826_817.UNKNOWN	CPM	Homo	NHP	559	107	44263.5	1.88e-30	5.1136e-29	****	0.444442457511111	moderate
GMGC10.149_563_647.UNKNOWN	CPM	Homo	NHP	559	107	43454.5	4.75e-30	1.07666666666667e-28	****	0.441325614288565	moderate
GMGC10.150_704_413.UNKNOWN	CPM	Homo	NHP	559	107	44579	7.33e-29	1.42411428571429e-27	****	0.431987940781506	moderate
GMGC10.267_544_408.RNJA	CPM	Homo	NHP	559	107	43663	2.35e-27	3.79288888888889e-26	****	0.419855376208912	moderate
GMGC10.053_459_953.UNKNOWN	CPM	Homo	NHP	559	107	42788.5	2.51e-27	3.79288888888889e-26	****	0.419630688165434	moderate
GMGC10.148_765_238.UNKNOWN	CPM	Homo	NHP	559	107	42735	6.14e-27	7.412e-26	****	0.416444441655051	moderate
GMGC10.147_890_188.UNKNOWN	CPM	Homo	NHP	559	107	43728.5	6.54e-27	7.412e-26	****	0.416217091108471	moderate
GMGC10.149_679_319.UNKNOWN	CPM	Homo	NHP	559	107	43728.5	6.54e-27	7.412e-26	****	0.416217091108471	moderate
GMGC10.039_097_862.DPNA	CPM	Homo	NHP	559	107	42098.5	8.28e-27	8.66215384615385e-26	****	0.415375834759962	moderate
GMGC10.150_096_684.UNKNOWN	CPM	Homo	NHP	559	107	42681.5	1.48e-26	1.43771428571429e-25	****	0.413291506639639	moderate
GMGC10.149_930_540.UNKNOWN	CPM	Homo	NHP	559	107	43740.5	3.4e-26	3.08266666666667e-25	****	0.410275499200049	moderate
GMGC10.150_258_530.UNKNOWN	CPM	Homo	NHP	559	107	42283	7.36e-26	6.256e-25	****	0.407470128408273	moderate
GMGC10.002_889_776.DPNA	CPM	Homo	NHP	559	107	42110.5	1.03e-25	7.44421052631579e-25	****	0.406236678562327	moderate
GMGC10.011_221_764.UNKNOWN	CPM	Homo	NHP	559	107	42110.5	1.03e-25	7.44421052631579e-25	****	0.406236678562327	moderate
GMGC10.149_679_316.UNKNOWN	CPM	Homo	NHP	559	107	43395.5	1.04e-25	7.44421052631579e-25	****	0.406189577627128	moderate
GMGC10.148_398_635.UNKNOWN	CPM	Homo	NHP	559	107	41938	1.41e-25	9.588e-25	****	0.405088212659862	moderate
GMGC10.148_128_929.UNKNOWN	CPM	Homo	NHP	559	107	43752.5	1.53e-25	9.90857142857143e-25	****	0.404787306037504	moderate
GMGC10.149_653_394.UNKNOWN	CPM	Homo	NHP	559	107	42521	1.88e-25	1.16218181818182e-24	****	0.404025529565922	moderate
GMGC10.151_620_939.UNKNOWN	CPM	Homo	NHP	559	107	43169.5	3.72e-25	2.19965217391304e-24	****	0.401505201653742	moderate
