Secondary_sample_accession,Classified,Unclassified
SRR17523822,38893,115
CDC010.A0101,1584140,13394907
SRS475982,83037,41102
SRR17524618,50161,237
CDM046.A0101.SG1,3552694,7065310
SRS475710,75959,43251
SRS019128,30411344,6032757
SRR17524261,35093,570
SRS475951,522767,139744
SRS015989,37716268,6227379
SRR17524599,321,11
SRS476790,300231,127081
SRS047265,8087416,2291819
SRR17523891,52092,195
2093,6395313,6770227
SRS476116,304392,72693
OME009.A0101,1738813,5671060
SRS019028,39397515,12099060
SRR17524054,75311,489
OME009.A0101,1738813,5671060
SRS476172,118706,56611
SRS015470,44690358,7516425
SRR6877326,3213695,3954435
SRR17523823,85462,347
CS09,5892617,8005405
SRS476056,50046,25932
SRS024021,49193786,5936633
SRR17524603,39026,146
SRS476088,115524,51221
SRR17524619,57598,238
MID026.A0101,4339379,3037952
SRS475563,93626,39890
IBA002.A0101,10436081,8543121
SRR17524510,73034,224
IBA002.A0101,10436081,8543121
SRS475939,84532,43630
SRS017227,57525885,15121700
JAE015.A0101,39582475,17776533
SRS017445,66111173,11056983
SRS024281,27248805,1194517
SRR1646035,36764,24957
CMC004.B0201.SG1,11047448,3713008
ERR1474566,13273003,5348504
CDC010.A0101,1584140,13394907
BB09,4282991,10044326
GDC002.A0101,2450508,8803815
SRR17523833,37806,118
ERR5729657,10643630,17712113
SRS476180,73899,33641
ERR1883430,25301,93812
SRS047113,39308109,10933281
SRR17523964,60488,166
KT13calc,1441996,2644636
SRS475704,64527,34437
KNP009.A0102,3136559,8175812
SRS011152,35239441,6706078
SRR17524056,74,10
KNP009.A0102,3136559,8175812
SRS475923,271883,78713
SRS018573,35025782,5724843
SRR17523896,67503,342
SRS475935,129378,57251
GOY005.A0103.SG1,378884,3102095
SRS024144,14821413,2386571
SRR17523829,49360,167
CDM050.V0101.SG1,4481227,8269554
SRS476281,47574,33953
SRS044366,5385137,746439
SRR17524423,24946,75
SIG038.A0101,1133970,5241014
SRS475569,27280,24950
SRR17524695,49278,188
CDM052.F0101.SG1,3993964,6752652
SRS475952,39819,26697
SRS022602,38703210,11789003
SRR17524538,61950,440
AMH001.A0101,5034368,5748238
SRS476202,396369,142343
Abusir1519c,34260533,493408531
SRS024381,32568719,7764907
SRR17524622,64040,347
SA-005,6827779,7948457
SRS476137,124921,50546
SRS017691,35884395,9011114
SRR17524378,31732,45
CS08,4829502,3847212
SRS476157,242284,89808
SRS053584,24198125,3958482
SRR17523894,67343,321
KT18calc,1852529,3789475
SRS476340,291361,104323
SRS045313,8338930,2363585
JAE008.A0101,47419693,17659099
SRS018665,44493126,9905263
SRS052874,13137073,1099466
SRR1646036,1606,835
CMC010.B0201.SG1,11141018,2530989
ERR1474576,3372808,959837
KNP009.A0102,3136559,8175812
BB05-T06,11472289,17029951
MTS003.A0101,3432590,4085291
SRR17523899,54132,181
HCLVMBCX2-3505-20-00-01_S20,1630627,4141299
SRS476170,235521,92776
ERS9656247,22413403,30130784
SRR060358,71452668,5611148
SRS018778,12770638,2304505
SRR17523915,47352,204
SRS475973,214683,69654
MTM012.A0101,5063567,5504870
SRS015803,36761710,9085559
SRR17523907,72089,304
SRS476151,262842,62789
MTM012.A0101,5063567,5504870
SRS064449,44269345,8255914
SRR17524129,58417,232
SRS476016,140249,59548
CDM041.V0101.SG1,2447368,7730479
SRS043755,19940969,5476630
SRR17524362,40198,194
SRS475544,193652,74085
CS42,2532624,2878884
SRS054430,13615305,3133575
SRR17524367,39095,215
SRS476075,401170,126813
KT15calc,2683767,4787868
SRS014690,36790832,9251142
SRR17524518,54617,254
SRS475609,54364,36976
DJA006.A0101,1735720,11981674
SRS019333,13696084,1788437
SRR17524480,20937,154
SRS475960,274673,92627
CDM052.I0101.SG1,3835918,5977124
DJA006.A0101,1735720,11981674
SRS042984,66344269,15239146
SRR17523886,49289,140
SRS476285,1719146,875935
CS47,15168913,14838659
SRS058808,30164035,9647285
SRR17523815,64455,230
SRS476207,120929,45172
VLC005.A0101,31255768,12729099
SRS013533,29458124,9012070
SRR17524403,35976,122
SRS476046,352693,119878
CS04,5768185,4213906
SRS024649,26879340,7708608
JAE016.A0101,62118956,32250191
SRS013252,50162103,11318650
SRS013945,23085765,1968246
SRR1646031,2156435,1757233
CMC023.A0301.SG1,8648345,4118064
ERR1474570,36188705,6990289
17C,11308524,21491323
BK3,487042,2030079
FDM001.A0101,1120371,3756278
SRR17523871,53824,179
