Sample type	Genus1	Genus2	cor	statistic	p	conf.low	conf.high	method	lrv	metric	alpha	propr	Zeros
Ancient dental calculus	Streptococcus	Actinomyces	0.3	6.876909	1.91E-11	0.21594151	0.37866585	Pearson	3.053692	rho	NA	0.2434648	0
Ancient dental calculus	Streptococcus	Capnocytophaga	0.78	27.435729	2.28E-100	0.74403299	0.81392848	Pearson	2.287985	rho	NA	0.7469672	0
Ancient dental calculus	Streptococcus	Corynebacterium	0.68	20.291923	1.47E-66	0.62833388	0.7248381	Pearson	2.254617	rho	NA	0.6770474	0
Ancient dental calculus	Streptococcus	Eikenella	0.7	21.69394	3.08E-73	0.6554907	0.7460433	Pearson	2.288509	rho	NA	0.6956017	0
Ancient dental calculus	Streptococcus	Fusobacterium	0.56	14.654818	1.87E-40	0.49105346	0.61477003	Pearson	2.879516	rho	NA	0.5559208	0
Ancient dental calculus	Streptococcus	Gemella	0.8	29.26039	8.88E-109	0.7659222	0.8304217	Pearson	1.375853	rho	NA	0.7987456	0
Ancient dental calculus	Streptococcus	Granulicatella	0.85	35.19551	4.79E-135	0.8219641	0.8721395	Pearson	1.523328	rho	NA	0.8215753	0
Ancient dental calculus	Streptococcus	Haemophilus	0.82	31.28751	6.00E-118	0.7874327	0.8465202	Pearson	1.784765	rho	NA	0.7919526	0
Ancient dental calculus	Streptococcus	Methanobrevibacter	0.075	1.655746	9.84E-02	-0.01404976	0.16357267	Pearson	10.52759	rho	NA	0.0678741	0
Ancient dental calculus	Streptococcus	Neisseria	0.82	31.596865	2.49E-119	0.79048037	0.84879236	Pearson	2.257024	rho	NA	0.7700322	0
Ancient dental calculus	Streptococcus	Porphyromonas	0.34	8.016186	8.38E-15	0.26234606	0.42003316	Pearson	3.509984	rho	NA	0.3360882	0
Ancient dental calculus	Streptococcus	Prevotella	0.66	19.02246	1.53E-60	0.6015224	0.7037216	Pearson	1.877858	rho	NA	0.6376749	0
Ancient dental calculus	Streptococcus	Rothia	0.69	20.96875	8.80E-70	0.6417535	0.7353396	Pearson	3.06254	rho	NA	0.6610604	0
Ancient dental calculus	Streptococcus	Veillonella	0.71	22.236382	7.99E-76	0.66534879	0.75369576	Pearson	1.736992	rho	NA	0.7109201	0
Calculus - Industrial	Streptococcus	Actinomyces	-0.39	-1.675505659	0.113	-0.722838755	0.09823858	Pearson	2.8163488	rho	NA	-0.38622404	0
Calculus - Industrial	Streptococcus	Capnocytophaga	0.94	11.18170952	5.68E-09	0.847053484	0.978360443	Pearson	0.1165121	rho	NA	0.94154535	0
Calculus - Industrial	Streptococcus	Corynebacterium	0.16	0.666964302	0.514	-0.327551116	0.586319187	Pearson	3.7253311	rho	NA	0.13820955	0
