gene	.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	effsize	magnitude
GMGC10.150_892_220.UNKNOWN	CPM	Tooth	BMS	238	299	17845.5	3.02E-40	1.55832E-37	****	0.573096965037871	large
GMGC10.036_312_211.ENO	CPM	Tooth	BMS	238	299	51109	5.89E-31	1.01308E-28	****	0.499271512305308	moderate
GMGC10.210_492_929.FBA	CPM	Tooth	BMS	238	299	51109	5.89E-31	1.01308E-28	****	0.499271512305308	moderate
GMGC10.034_754_995.UNKNOWN	CPM	Tooth	BMS	238	299	50840.5	5.94E-30	7.6626E-28	****	0.490638436503274	moderate
GMGC10.006_199_507.YBIW	CPM	Tooth	BMS	238	299	50633	9.49E-30	9.79368E-28	****	0.488873751673057	moderate
GMGC10.295_157_187.RPSS	CPM	Tooth	BMS	238	299	50602.5	2.37E-29	1.52865E-27	****	0.485397990488928	moderate
GMGC10.304_655_138.ECFA2	CPM	Tooth	BMS	238	299	50602.5	2.37E-29	1.52865E-27	****	0.485397990488928	moderate
GMGC10.308_024_601.RPLR	CPM	Tooth	BMS	238	299	50602.5	2.37E-29	1.52865E-27	****	0.485397990488928	moderate
GMGC10.310_318_038.RPLM	CPM	Tooth	BMS	238	299	50395	3.73E-29	2.13853333333333E-27	****	0.483669362760938	moderate
GMGC10.306_170_773.PRFB	CPM	Tooth	BMS	238	299	50483.5	4.71E-29	2.43036E-27	****	0.482776173595013	moderate
GMGC10.042_135_856.UNKNOWN	CPM	Tooth	BMS	238	299	50572	5.77E-29	2.4811E-27	****	0.482005360701241	moderate
GMGC10.149_757_126.ENO	CPM	Tooth	BMS	238	299	50572	5.77E-29	2.4811E-27	****	0.482005360701241	moderate
GMGC10.006_246_156.MFD	CPM	Tooth	BMS	238	299	50276	7.37E-29	2.71637142857143E-27	****	0.481065405082307	moderate
GMGC10.309_082_792.ILVC	CPM	Tooth	BMS	238	299	50276	7.37E-29	2.71637142857143E-27	****	0.481065405082307	moderate
GMGC10.147_881_480.YCEA	CPM	Tooth	BMS	238	299	50453	1.15E-28	3.956E-27	****	0.479364236053843	moderate
GMGC10.302_924_534.DNAK	CPM	Tooth	BMS	238	299	50245.5	1.84E-28	5.934E-27	****	0.47752878335889	moderate
GMGC10.015_292_121.UNKNOWN	CPM	Tooth	BMS	238	299	49949.5	2.15E-28	6.16484210526316E-27	****	0.476935753999065	moderate
GMGC10.004_243_581.DNAK	CPM	Tooth	BMS	238	299	50334	2.27E-28	6.16484210526316E-27	****	0.476721802328872	moderate
GMGC10.300_829_777.TPIA	CPM	Tooth	BMS	238	299	50334	2.27E-28	6.16484210526316E-27	****	0.476721802328872	moderate
GMGC10.036_323_427.PGK	CPM	Tooth	BMS	238	299	50126.5	3.63E-28	9.3654E-27	****	0.474902977996437	moderate
GMGC10.305_295_263.YBIT	CPM	Tooth	BMS	238	299	49919	5.55E-28	1.36371428571429E-26	****	0.473245111489727	moderate
GMGC10.305_771_462.RPSA	CPM	Tooth	BMS	238	299	49800	1.08E-27	2.53309090909091E-26	****	0.470635150950045	moderate
GMGC10.018_209_775.NWAT_0415	CPM	Tooth	BMS	238	299	49888.5	1.39E-27	3.1184347826087E-26	****	0.469646554686646	moderate
GMGC10.150_554_669.UNKNOWN	CPM	Tooth	BMS	238	299	22120	1.9E-27	4.085E-26	****	0.468422745675153	moderate
GMGC10.036_326_472.PGK	CPM	Tooth	BMS	238	299	49681	2.1E-27	4.3344E-26	****	0.468023393630986	moderate
GMGC10.307_438_716.PRFB	CPM	Tooth	BMS	238	299	49858	3.39E-27	6.72784615384615E-26	****	0.466136593231937	moderate
GMGC10.055_458_227.RPSF	CPM	Tooth	BMS	238	299	49562	4.07E-27	7.24179310344828E-26	****	0.465409717620699	moderate
GMGC10.149_355_331.RPSB	CPM	Tooth	BMS	238	299	49562	4.07E-27	7.24179310344828E-26	****	0.465409717620699	moderate
GMGC10.303_075_463.YBIT	CPM	Tooth	BMS	238	299	49562	4.07E-27	7.24179310344828E-26	****	0.465409717620699	moderate
GMGC10.148_657_732.RPLK	CPM	Tooth	BMS	238	299	50035	4.81E-27	8.2732E-26	****	0.464739209097174	moderate
GMGC10.027_448_591.UNKNOWN	CPM	Tooth	BMS	238	299	49650.5	5.27E-27	8.772E-26	****	0.464382905293954	moderate
GMGC10.307_458_509.RPSB	CPM	Tooth	BMS	238	299	49443	7.85E-27	1.2658125E-25	****	0.462793999152598	moderate
GMGC10.040_020_866.UNKNOWN	CPM	Tooth	BMS	238	299	49916	9.44E-27	1.47607272727273E-25	****	0.462055293426024	moderate
GMGC10.012_047_291.UNKNOWN	CPM	Tooth	BMS	238	299	49324	1.51E-26	2.29164705882353E-25	****	0.460176112537733	moderate
GMGC10.277_623_105.RPLB	CPM	Tooth	BMS	238	299	49205	2.9E-26	4.15666666666667E-25	****	0.457555930094597	moderate
GMGC10.306_658_126.FUSA	CPM	Tooth	BMS	238	299	49205	2.9E-26	4.15666666666667E-25	****	0.457555930094597	moderate
GMGC10.306_459_984.TUF	CPM	Tooth	BMS	238	299	49293.5	3.79E-26	5.28551351351351E-25	****	0.456471693932754	moderate
GMGC10.012_041_006.DNAK	CPM	Tooth	BMS	238	299	49766.5	4.14E-26	5.62168421052632E-25	****	0.45610613329514	moderate
GMGC10.019_516_763.UNKNOWN	CPM	Tooth	BMS	238	299	49382	4.79E-26	6.33753846153846E-25	****	0.455520699098181	moderate
GMGC10.018_221_610.COMD	CPM	Tooth	BMS	238	299	49470.5	5.87E-26	7.5723E-25	****	0.454696015235842	moderate
GMGC10.148_839_185.RPLF	CPM	Tooth	BMS	238	299	49559	6.98E-26	8.78458536585366E-25	****	0.453991316827398	moderate
GMGC10.036_309_940.UNKNOWN	CPM	Tooth	BMS	238	299	48878.5	7.74E-26	9.50914285714286E-25	****	0.453574431186386	moderate
GMGC10.040_425_053.GLGP	CPM	Tooth	BMS	238	299	48671	1.03E-25	1.236E-24	****	0.452408276481914	moderate
GMGC10.149_793_045.ATPA	CPM	Tooth	BMS	238	299	48967	1.06E-25	1.24309090909091E-24	****	0.452308156594466	moderate
GMGC10.011_195_662.GPMA	CPM	Tooth	BMS	238	299	49351.5	1.13E-25	1.2675652173913E-24	****	0.452019422073211	moderate
GMGC10.036_327_257.POXB	CPM	Tooth	BMS	238	299	49351.5	1.13E-25	1.2675652173913E-24	****	0.452019422073211	moderate
GMGC10.298_417_898.RPSR	CPM	Tooth	BMS	238	299	49440	1.35E-25	1.48212765957447E-24	****	0.451298810635948	moderate
GMGC10.308_929_408.RPSS	CPM	Tooth	BMS	238	299	49055.5	1.39E-25	1.49425E-24	****	0.451185551072523	moderate
GMGC10.036_914_647.UNKNOWN	CPM	Tooth	BMS	238	299	48759.5	1.47E-25	1.548E-24	****	0.450967252092666	moderate
