Library_ID	Total
JAE006.A0101	39683
JAE007.A0101	37633
JAE008.A0101	42128
JAE009.A0101	42557
JAE010.A0101	41377
JAE012.A0101	39518
JAE013.A0101	36644
JAE014.A0101	43092
JAE015.A0101	41591
JAE016.A0101	41919
VLC001.A0101	38544
VLC002.A0101	35630
VLC003.A0101	35132
VLC004.A0101	40571
VLC005.A0101	42034
VLC008.A0101	37400
VLC009.A0101	38105
VLC010.A0101	33524
SRS011098	28788
SRS011126	38482
SRS011152	34911
SRS011255	34314
SRS011343	32501
SRS012285	34863
SRS013170	39028
SRS013252	37030
SRS013533	41040
SRS013723	37196
SRS013836	35826
SRS013949	34360
SRS013950	31768
SRS014107	19951
SRS014476	37879
SRS014477	27971
SRS014578	35342
SRS014690	22208
SRS014691	26061
SRS014894	27593
SRS015044	33433
SRS015063	29415
SRS015064	26539
SRS015158	33099
SRS015215	32865
SRS015278	30225
SRS015378	18173
SRS015440	32353
SRS015470	35436
SRS015574	36765
SRS015650	24997
SRS015755	27978
SRS015803	33260
SRS015899	32711
SRS015947	21482
SRS015989	27731
SRS016043	32272
SRS016092	25456
SRS016200	30356
SRS016331	37395
SRS016360	30387
SRS016541	28985
SRS016575	37541
SRS016746	34597
SRS017025	24590
SRS017088	14260
SRS017139	37264
SRS017227	41672
SRS017304	28343
SRS017445	37787
SRS017511	38650
SRS017691	39185
SRS017814	27281
SRS018157	40136
SRS018337	25026
SRS018394	37656
SRS018573	31346
SRS018665	38146
SRS018778	15882
SRS018975	31519
SRS019028	29014
SRS019029	35475
SRS019077	34329
SRS019128	36352
SRS019129	31320
SRS019225	27216
SRS019333	20902
SRS019387	23344
SRS019591	27978
SRS019906	34822
SRS019980	34247
SRS020226	37730
SRS020340	28630
SRS020862	19659
SRS021477	33795
SRS021960	26318
SRS022083	24671
SRS022149	37408
SRS022536	40160
SRS022602	37839
SRS022725	41447
SRS023358	30905
SRS023538	22573
SRS023595	41973
SRS023841	27967
SRS023938	34988
SRS023964	33970
SRS024021	29196
SRS024087	40442
SRS024144	25389
SRS024289	30966
SRS024355	38098
SRS024381	32991
SRS024447	33248
SRS024561	34126
SRS024649	34445
SRS042984	39296
SRS043018	36991
SRS043755	32412
SRS043772	24507
SRS044366	14039
SRS045197	38923
SRS045313	20463
SRS047100	27847
SRS047113	41186
SRS047265	21507
SRS047634	39617
SRS049268	37395
SRS049318	42168
SRS051244	35161
SRS051378	26195
SRS051930	34746
SRS051941	36852
SRS052604	19099
SRS052876	31057
SRS053584	30763
SRS053630	25488
SRS053917	40435
SRS054430	26384
SRS054653	27503
SRS055378	39760
SRS055401	33118
SRS055450	26100
SRS058053	40241
SRS058808	37843
SRS063215	29016
SRS063603	39274
SRS063999	38254
SRS064219	5213
SRS064329	32452
SRS064449	37588
SRS064493	9946
SRS065099	37263
SRS065310	23421
SRS075410	31075
SRS011247	16236
SRS011310	14258
SRS013506	15909
SRS013945	21065
SRS015436	18775
SRS015799	12119
SRS018359	13895
SRS019124	17008
SRS019587	12280
SRS024281	12207
SRS043239	25339
SRS052874	15379
SRS056892	16932
SRS058105	11803
SRS013942	14034
SRS014468	10095
SRS014692	16760
SRS015055	18989
SRS019120	16663
SRS475533	5148
SRS475535	3156
SRS475536	2293
SRS475538	1654
SRS475543	2168
SRS475544	3439
SRS475547	2597
SRS475548	1775
SRS475563	2387
SRS475569	1653
SRS475571	2104
SRS475573	1785
SRS475576	1450
SRS475579	1839
SRS475583	1817
SRS475584	2245
SRS475587	2226
SRS475588	5154
SRS475590	1518
SRS475591	2402
SRS475592	1856
SRS475593	2406
SRS475595	3607
SRS475596	1442
SRS475597	2668
SRS475599	3155
SRS475600	2133
SRS475601	2789
SRS475605	1641
SRS475609	1996
SRS475616	1128
SRS475618	3026
SRS475619	9860
SRS475622	1464
SRS475628	1533
SRS475635	2381
SRS475646	2542
SRS475649	5658
