Secondary_sample_accession	Total
Gb1-reg	2644
Gb1-uv	2647
Gb1-wash	2664
Gb2-reg	2575
Gb2-uv	2617
Gb2-wash	2602
SRS475533	1310
SRS475535	1236
SRS475536	1134
SRS475538	919
SRS475543	1110
SRS475544	1222
SRS475547	1129
SRS475548	1012
SRS475563	1148
SRS475569	987
SRS475571	1057
SRS475573	963
SRS475576	646
SRS475579	1052
SRS475583	1037
SRS475584	1128
SRS475587	1083
SRS475588	1238
SRS475590	980
SRS475591	1142
SRS475592	1036
SRS475593	1133
SRS475595	1238
SRS475596	877
SRS475597	1152
SRS475599	1191
SRS475600	1095
SRS475601	1186
SRS475605	1013
SRS475609	1075
SRS475616	824
SRS475618	1227
SRS475619	1361
SRS475622	922
SRS475628	945
SRS475635	1082
SRS475646	1149
SRS475649	1331
SRS475650	956
SRS475653	1148
SRS475654	912
SRS475655	1066
SRS475660	1295
SRS475663	1109
SRS475665	1152
SRS475668	1216
SRS475669	1304
SRS475670	1169
SRS475672	1175
SRS475676	1355
SRS475677	1168
SRS475678	990
SRS475679	1191
SRS475683	1014
SRS475685	1198
SRS475686	1015
SRS475687	1206
SRS475691	1110
SRS475696	1074
SRS475697	1245
SRS475699	1302
SRS475700	1229
SRS475704	1102
SRS475706	1236
SRS475707	1183
SRS475708	1200
SRS475710	1123
SRS475711	1273
SRS475718	1025
SRS475719	1231
SRS475720	1269
SRS475724	1206
SRS475725	1219
SRS475916	1045
SRS475917	466
SRS475918	1118
SRS475919	944
SRS475922	1061
SRS475923	1265
SRS475926	1146
SRS475927	1099
SRS475930	999
SRS475932	1193
SRS475934	1249
SRS475935	1135
SRS475937	1012
SRS475939	1120
SRS475940	1155
SRS475943	1235
SRS475950	1185
SRS475951	1302
SRS475952	1000
SRS475954	1353
SRS475955	1250
SRS475956	1302
SRS475957	922
SRS475960	1300
SRS475961	944
SRS475963	1136
SRS475964	1350
SRS475965	1137
SRS475966	1287
SRS475969	1290
SRS475970	1079
SRS475971	1102
SRS475972	1121
SRS475973	1185
SRS475975	1129
SRS475976	1382
SRS475977	1281
SRS475982	1118
SRS475983	1028
SRS475985	950
SRS475992	1206
SRS475996	1264
SRS475999	1263
SRS476000	1142
SRS476002	1414
SRS476004	1148
SRS476005	1117
SRS476006	1211
SRS476007	1136
SRS476008	1071
SRS476009	1268
SRS476011	1074
SRS476012	1357
SRS476016	1232
SRS476017	1015
SRS476018	948
SRS476025	1200
SRS476026	1129
SRS476027	1277
SRS476036	1095
SRS476038	1174
SRS476045	1006
SRS476046	1298
SRS476048	1284
SRS476049	1155
SRS476052	1209
SRS476053	1085
SRS476054	744
SRS476055	1088
SRS476056	1060
SRS476057	1243
SRS476059	1102
SRS476071	1209
SRS476072	993
SRS476073	1094
SRS476075	1346
SRS476079	1309
SRS476080	956
SRS476081	1080
SRS476082	1049
SRS476086	1066
SRS476087	1018
SRS476088	1188
SRS476089	1061
SRS476091	1347
SRS476102	1327
SRS476105	1256
SRS476107	964
SRS476109	938
SRS476110	1210
SRS476111	1307
SRS476112	1269
SRS476113	919
SRS476115	1285
SRS476116	1202
SRS476122	1177
SRS476123	1077
SRS476124	1114
SRS476127	1288
SRS476137	1182
SRS476138	983
SRS476140	1261
SRS476146	1128
SRS476150	1060
SRS476151	1223
SRS476157	1283
SRS476161	1378
SRS476162	1198
SRS476165	1114
SRS476168	1312
SRS476170	1254
SRS476171	1253
SRS476172	1166
SRS476174	1247
SRS476175	969
SRS476177	1011
SRS476178	1206
SRS476180	1108
SRS476181	1177
SRS476186	1008
SRS476190	1146
SRS476197	1330
SRS476200	1296
SRS476201	1322
SRS476202	1293
SRS476204	1309
SRS476206	1148
SRS476207	1180
SRS476208	1320
SRS476210	1115
SRS476214	1161
SRS476260	1230
SRS476261	1150
SRS476263	1251
SRS476265	1257
SRS476266	1273
SRS476268	1117
SRS476272	1298
SRS476275	967
SRS476279	1185
SRS476281	1034
SRS476282	1282
SRS476283	1141
SRS476284	1214
SRS476285	1479
SRS476286	1165
SRS476294	1005
SRS476297	1215
SRS476299	1030
SRS476301	1344
SRS476304	1031
SRS476305	1044
SRS476310	1276
SRS476311	1088
SRS476330	1503
SRS476336	1182
SRS476340	1277
SRS476353	1175
SRS476355	951
SRS476399	1100
