accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_902460385.1	1	100	0	475	o__Lactobacillales (UID544)	267	0	2015109	87.886187655428	56	960779	41.9030634652515	2292862	RS_GCF_000767835.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sinensis	not type material	none	f	8	8	342188	342188	5222	1	2894	NZ_CABPTS010000041.1	26860	2	109	NZ_CABPTS010000026.1	2894	5317	0	99.827	LQOH01000196.326.3225	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. DD04	40943	40943	t	f	f	80827	80827	Contig	PRJEB33225	na	PRJNA224116	SAMEA5894164	56	80827	none	2019-08-29	GCA_902460385.1	none	full	none	none	none	0	1	Streptococcus sp. Marseille-P7376	none	na	4	none	none	none	none	none	2019/08/29	0	2592044	1	Marseille-P7376	URMITE	2592044	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;x__unclassified Streptococcus;s__Streptococcus sp. Marseille-P7376	0	2292862	11	36	none	2292862	0	CABPTS000000000.1	2231	56	5222	1	none	none	none	none	none	none	1553	NZ_CABPTS010000041.1	1510	2778	0	99.868	AF432856.1.1512	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sinensis	0	18	36	0
RS_GCF_000767835.1	35	99.63	0.12	475	o__Lactobacillales (UID544)	267	0	1811886	87.8770110042326	116	869206	42.1574656806065	2061843	RS_GCF_000767835.1	t	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sinensis	type strain of species	LPSN	f	16	16	125948	125948	7413	2	2612	NZ_JPEN01000059.1	7413	1	109	NZ_JPEN01000059.1	2612	4824	0	100	JPEN01000059.4794.7413	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sinensis	17774	17774	t	f	f	38906	38906	Contig	ASM76783v1	na	PRJNA224116	SAMN02848449	116	38906	Hong Kong	2014-10-22	GCA_000767835.1	none	full	none	blood culture of a patient with infective endocarditis	none	0	1	Streptococcus sinensis	1985	representative genome	4	none	none	none	none	none	2014/10/22	0	176090	1	HKU4	The University of Hong Kong	176090	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sinensis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sinensis	0	2061843	11	47	assembly from type material	2061843	0	JPEN00000000.1	1982	116	2318	1	1510	2789	0	100	593803	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	1553	NZ_JPEN01000064.1	1510	2789	0	100	AF432856.1.1512	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sinensis	0	20	47	0
RS_GCF_019090945.1	0	99.25	0.31	475	o__Lactobacillales (UID544)	267	0	1864207	87.9452026359874	41	890667	42.0178069260479	2119737	RS_GCF_000767835.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sinensis	not type material	none	f	5	5	411038	411038	5232	1	2893	NZ_JABTYC010000024.1	5232	1	109	NZ_JABTYC010000024.1	2894	5232	0	99.309	LQOH01000196.326.3225	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. DD04	51700	51700	f	f	t	123999	123999	Contig	ASM1909094v1	na	PRJNA224116	SAMN11268212	41	123999	none	2021-07-01	GCA_019090945.1	none	full	none	none	none	0	1	Streptococcus sinensis	none	na	3	none	none	none	none	none	2021/07/01	0	176090	1	Forysth1A	University of Nevada, Reno	176090	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sinensis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sinensis	0	2119737	11	27	none	2119737	0	JABTYC000000000.1	2014	41	5232	1	none	none	none	none	none	none	1553	NZ_JABTYC010000024.1	1510	2772	0	99.801	AF432856.1.1512	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sinensis	0	16	27	0
RS_GCF_001578725.1	0	98.94	0.12	475	o__Lactobacillales (UID544)	267	0	1769204	80.427612811837	249	886468	42.1149549356091	2199747	RS_GCF_000767835.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sinensis	not type material	none	f	39	3	58701	591709	5243	1	2894	NZ_KQ968984.1	5243	1	109	NZ_KQ968984.1	2894	5345	0	100	LQOH01000196.326.3225	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. DD04	8453	36061	t	f	f	16035	404855	Scaffold	ASM157872v1	na	PRJNA224116	SAMN04324323	249	16035	Germany: Goettingen; German Primate Center	2016-03-02	GCA_001578725.1	none	full	none	nose	none	0	1	Streptococcus sp. DD04	2084	na	3	61	3	404855	271665	106762	2016/03/02	188	1776578	1	DD04	University of Kaiserslautern	1776578	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;x__unclassified Streptococcus;s__Streptococcus sp. DD04	94870	2199747	11	36	none	2104877	0	LQOH00000000.1	2059	61	5243	1	1510	2778	0	99.868	593803	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	1553	NZ_KQ968984.1	1510	2778	0	99.868	AF432856.1.1512	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sinensis	94870	18	36	0
RS_GCF_000195045.1	0	100	0	475	o__Lactobacillales (UID544)	267	0	2134192	88.9776454397222	16	1026767	42.8163719923222	2398571	RS_GCF_000194945.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	not type material	none	f	3	1	470621	1430650	4737	1	2896	NZ_GL878563.1	4737	1	109	NZ_GL878563.1	2896	5349	0	100	AB168126.1.2901	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	149879	399761	t	f	f	414531	1430650	Scaffold	ASM19504v1	na	PRJNA224116	SAMN00253319	16	414531	none	2011-04-06	GCA_000195045.1	none	full	none	blood	none	0	0	Streptococcus sanguinis SK408	2361	na	3	6	1	1430650	414531	392838	2011/04/06	10	1305	1	SK408;CCUG 59327	Baylor College of Medicine	888818	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis;x__Streptococcus sanguinis SK408	500	2398571	11	47	none	2398071	0	AFBE00000000.1	2305	6	4737	1	none	none	none	none	none	none	1328	NZ_GL878563.1	1325	2447	0	100	AFAZ01000011.3210.4745	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis SK1 = NCTC 7863	500	19	47	0
RS_GCF_001588895.1	0	100	0	475	o__Lactobacillales (UID544)	267	0	2168588	89.2694527265699	20	1047028	43.1006795893895	2429261	RS_GCF_013343115.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis_H	not type material	none	f	3	3	590673	590673	5122	1	2896	NZ_LAWG01000012.1	5122	1	109	NZ_LAWG01000012.1	2896	5349	0	100	LAWG01000012.1992.4889	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	121463	121463	t	f	f	356680	356680	Contig	ASM158889v1	na	PRJNA224116	SAMN03480643	20	356680	United Kingdom	2016-03-11	GCA_001588895.1	none	full	none	Subacute bacterial endocarditis	55 N 1.6 W	0	0	Streptococcus sanguinis	2403	na	3	none	none	none	none	none	2016/03/11	0	1305	1	FSS9	University of Malaya	1305	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	0	2429261	11	47	none	2429261	0	LAWG00000000.1	2344	20	5122	1	1544	2813	0	99.547	3323740	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__	1544	NZ_LAWG01000012.1	1544	2819	0	99.611	CP000387.1827860.1829410	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis SK36	0	19	47	0
RS_GCF_003942365.1	65	100	0	475	o__Lactobacillales (UID544)	267	0	2119673	89.231205093362	27	1024555	43.1315485815345	2375484	RS_GCF_000194945.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	not type material	none	f	4	4	449470	449470	4460	4	2863	NZ_RJMR01000019.1	364986	3	109	NZ_RJMR01000002.1	2863	5227	0	99.441	CP000387.18190.21087	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis SK36	87980	87980	t	f	f	305326	305326	Contig	ASM394236v1	na	PRJNA224116	SAMN09631773	27	305326	none	2018-12-12	GCA_003942365.1	none	full	none	none	none	0	1	Streptococcus sanguinis	none	na	12	none	none	none	none	none	2018/12/12	0	1305	6	BCC20	Clemson University	1305	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	0	2375484	11	49	none	2375484	0	RJMR00000000.1	2299	27	4460	3	none	none	none	none	none	none	1324	NZ_RJMR01000019.1	1324	2438	0	99.849	CP000387.1827860.1829410	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis SK36	0	20	48	0
RS_GCF_003942405.1	26	100	0	475	o__Lactobacillales (UID544)	267	0	2126988	89.3871211217033	14	1026683	43.1470419390981	2379524	RS_GCF_000194945.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	not type material	none	f	2	2	933654	933654	513732	1	2731	NZ_RJMY01000003.1	513732	1	109	NZ_RJMY01000003.1	2726	5035	0	100	AEXZ01000012.1.2837	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis SK160	169966	169966	t	f	f	513732	513732	Contig	ASM394240v1	na	PRJNA224116	SAMN09631766	14	513732	none	2018-12-12	GCA_003942405.1	none	full	none	none	none	0	0	Streptococcus sanguinis	none	na	6	none	none	none	none	none	2018/12/12	0	1305	4	BCC61	Clemson University	1305	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	0	2379524	11	52	none	2379524	0	RJMY00000000.1	2277	14	513732	1	none	none	none	none	none	none	1544	NZ_RJMY01000003.1	1544	2841	0	99.87	CP000387.124363.125913	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis SK36	0	20	52	0
RS_GCF_000220275.1	0	100	0	475	o__Lactobacillales (UID544)	267	0	2139592	88.8266338083835	14	1031197	43.0169790746317	2408728	RS_GCF_000194945.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	not type material	none	f	4	1	418247	2402284	5109	1	2896	NZ_GL982564.1	5109	1	94	NZ_GL982564.1	2895	5347	0	100	LS483346.2303996.2306894	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	171227	602182	f	f	t	325036	2402284	Scaffold	ASM22027v1	na	PRJNA224116	SAMN00253970	14	325036	none	2011-07-08	GCA_000220275.1	none	full	none	oral cavity	none	0	0	Streptococcus sanguinis SK340	2350	na	3	4	1	2402284	2402284	2402284	2011/07/08	10	1305	1	SK340;CCUG 59323	Baylor College of Medicine	888814	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis;x__Streptococcus sanguinis SK340	11542	2408728	11	34	none	2397186	0	AFQB00000000.1	2307	4	5109	1	none	none	none	none	none	none	1544	NZ_GL982564.1	1544	2852	0	100	CP000387.124363.125913	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis SK36	11542	17	35	0
RS_GCF_003942305.1	132	100	0	475	o__Lactobacillales (UID544)	267	0	2064804	89.5474151951018	128	1005278	43.5998768264598	2305822	RS_GCF_000194945.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	not type material	none	f	19	19	189566	189566	4689	2	2896	NZ_RJMJ01000073.1	9773	3	109	NZ_RJMJ01000061.1	2896	5317	0	99.793	LAWG01000012.1992.4889	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	18014	18014	t	f	f	34351	34351	Contig	ASM394230v1	na	PRJNA224116	SAMN09631781	128	34351	none	2018-12-12	GCA_003942305.1	none	full	none	none	none	0	0	Streptococcus sanguinis	none	na	7	none	none	none	none	none	2018/12/12	0	1305	1	KLC08	Clemson University	1305	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	0	2305822	11	52	none	2305822	0	RJMJ00000000.1	2235	128	4689	1	none	none	none	none	none	none	1516	NZ_RJMJ01000073.1	1516	2795	0	99.934	CP000387.1827860.1829410	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis SK36	0	20	52	0
